cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;dt_fundacao_osc;removida_do_mosc;data_fechamento;ano_fechamento;tx_endereco_completo;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social;Populacao
24109321000197;ASSOCIACAO BENEFICIENTE SAO PAULO;ABESP - UNIDADE SEDE;2015-12-22;não;;;RUA JOSE REIS, 26, LETRA A, PARQUE DAS CEREJEIRAS, São Paulo, SP, 04966145;S�o Paulo;SP;-46,779231;-23,729745;88006.0;1.0;11.904.961
48573976000180;OASPA OBRAS ASSISTENCIAIS SAO PEDRO APOSTOLO;;1976-12-02;não;;;AVENIDA ALBERTO RAMOS614, JD INDEPENDENCIA, São Paulo, SP, 03222000;S�o Paulo;SP;-46,5595302579996;-23,5864908069996;94308.0;1.0;11.904.961
17873917000101;ASSOCIACAO DE DEFESA DA SAUDE DA ZONA SUL E ADJACENCIAS;ASSOCIACAO DOS SERVIDORES DA SAUDE DA ZONA SUL -ASSASUL;2012-09-20;não;;;AVENIDA BENTO DE SOUSA, 06, , JARDIM SANTA EDWIGES (CAPELA DO SOCORRO), São Paulo, SP, 04913000;S�o Paulo;SP;-46,743189;-23,675402;88006.0;1.0;11.904.961
21520311000151;INSTITUTO DE AMPARO A FAMILIA;;2014-11-19;não;;;TRAVESSA RUTH CABRAL TRONCARELLI42, JARDIM SAO SAVERIO, São Paulo, SP, 04194270;S�o Paulo;SP;-46,6129344249996;-23,6535559629996;88006.0;1.0;11.904.961
426000145;CLUBE DE MAES DO BAIRRO PARQUE CEREJEIRAS;;1994-09-23;não;;;RUA DELIVAL SANTO SANTANA44, PARQUE CEREJEIRA, São Paulo, SP, 04896000;S�o Paulo;SP;-46,6973296939996;-23,8513119599996;87115.0;1.0;11.904.961
51201002000180;MOVIMENTO DE APOIO A INTEGRACAO SOCIAL;MAIS;1978-08-23;não;;;RUA JAGUARIAIVA378, FUNDOS, VILA GUILHERMINA, São Paulo, SP, 03545070;S�o Paulo;SP;-46,5111709149996;-23,5305617619996;87301.0;1.0;11.904.961
3488914000131;ASSOCIACAO DE EDUCADORES DA UNIVERSIDADE DE SAO PAULO;AEUSP;1998-12-08;não;;;AVENIDA PROFESSOR MELLO DE MORAIS1235, BLOCO F                   TERREO                    SALA  13, BUTANTA, São Paulo, SP, 05508030;S�o Paulo;SP;-46,7203465039996;-23,5580851369996;88006.0;1.0;11.904.961
47296884000218;SOCIEDADE DE ENSINO PROFISSIONAL E ASSISTENCIA SOCIAL;NCI SUZANNE CROS;2015-12-08;não;;;RUA SANTA ROSA DE LIMA703, PARQUE PAULISTANO, São Paulo, SP, 08080000;S�o Paulo;SP;-46,4294086239996;-23,4880985869996;88006.0;1.0;11.904.961
74634833000140;INSTITUTO BRILHO CELESTE;INSTITUTO BRILHO CELESTE - UNIDADE SEDE;1994-05-10;não;;;RUA NOVA JARAGUA38, JARAGUA, São Paulo, SP, 05180150;S�o Paulo;SP;-46,7505127269996;-23,4585957669996;88006.0;1.0;11.904.961
61882395000945;OBRA SOCIAL DOM BOSCO;ACAO SOCIAL NOSSA SENHORA AUXILIADORA;2016-01-14;não;;;RUA DOUTOR JAIRO FRANCO42, PARADA XV DE NOVEMBRO, São Paulo, SP, 08246010;S�o Paulo;SP;-46,4415104589996;-23,5308151919996;87301.0;1.0;11.904.961
783599000187;DIRETORIO ACADEMICO DE ADMINISTRACAO XXVIII DE MARCO;D. A. ADMINISTRACAO XXVIII DE MARCO;1995-08-25;não;;;RUA PROF ENEAS DE S NETO340, JARDIM DAS IMBUIAS, São Paulo, SP, 04829300;S�o Paulo;SP;-46,7110534799996;-23,7298701849996;87115.0;1.0;11.904.961
4186468003350;ASSOCIACAO ALIANCA DE MISERICORDIA;CCA VILA CUORE;2016-12-13;não;;;AVENIDA RAIMUNDO PEREIRA DE MAGALHAES13658, CASA  03, JARDIM TAIPAS, São Paulo, SP, 02990175;S�o Paulo;SP;-46,7319186029996;-23,4181631699996;88006.0;1.0;11.904.961
7196537000118;ASSOCIACAO CUORE DE ASSISTENCIA A CRIANCA E AO ADOLESCENTE;;2005-01-13;não;;;RUA CLODOMIRO AMAZONAS713, CJTO. 51, ITAIM BIBI, São Paulo, SP, 04537011;S�o Paulo;SP;-46,6783758349996;-23,5897557909996;88006.0;1.0;11.904.961
659363000133;ASSOCIACAO DE MULHERES GRACA E PAZ;;1995-06-19;não;;;RUA QUENTENA27, B, PIRAPORINHA, São Paulo, SP, 04912070;S�o Paulo;SP;-46,7442007539996;-23,6783221109996;87115.0;1.0;11.904.961
31520421000177;INSTITUTO FACA NA CADEIRA;INSTITUTO FACA NA CADEIRA;2018-09-14;não;;;RUA MICHIGAN470, APT   2602                BLOCO 1, CIDADE MONCOES, São Paulo, SP, 04566000;S�o Paulo;SP;-46,6908593839996;-23,6109003599996;88006.0;1.0;11.904.961
1429614000237;ASSOCIACAO BENEFICENTE COMUNITARIA AURORA;CCA MENINOS E MENINAS DA ABC AURORA;2012-09-12;não;;;RUA CAXINGUELE650, CIDADE ANTONIO ESTEVAO DE CARVALHO, São Paulo, SP, 08223010;S�o Paulo;SP;-46,4689414329996;-23,5350710179996;88006.0;1.0;11.904.961
33700956004061;FASE FEDERACAO DE ORGAOS PARA ASSIST SOCIAL E EDUCAC;;1993-09-03;não;;;RUA APENINOS939, PARAISO, São Paulo, SP, 04104020;S�o Paulo;SP;-46,6393225239996;-23,5752093679996;88006.0;1.0;11.904.961
62454368000187;ASSOCIACAO DE MORADORES DO JARDIM CAMPOS E ADJACENCIAS;;1990-07-18;não;;;RUA JURAMENTO8, ITAIM PAULISTA, São Paulo, SP, 08151490;S�o Paulo;SP;-46,4061765109996;-23,5116980609996;87115.0;1.0;11.904.961
11204981000539;INSTITUTO NOVOS HORIZONTES;;2021-03-04;não;;;AVENIDA AFONSO MARIANO FAGUNDES1086, SAUDE, São Paulo, SP, 04054001;S�o Paulo;SP;-46,6465903529996;-23,6178174239996;87301.0;1.0;11.904.961
5482533000685;INSTITUTO SONHO INFANTIL;PROJETO RESTAURACAO;2021-11-23;não;;;RUA BOLEADEIRAS59/27, JARDIM ELBA, São Paulo, SP, 03980120;S�o Paulo;SP;-46,5153612529996;-23,6161820169996;87301.0;1.0;11.904.961
8978522000689;ABCP ASSOCIACAO BENEFICENTE & COMUNITARIA DO POVO;;2022-03-16;não;;;RUA LUIS GOIS656, MIRANDOPOLIS, São Paulo, SP, 04043050;S�o Paulo;SP;-46,6354950609996;-23,6040622399996;88006.0;1.0;11.904.961
46874982000141;INSTITUTO ALESSANDRA OLIVEIRA;INSTITUTO ALESSANDRA OLIVEIRA;2022-06-22;não;;;RUA REI ALBERTO108, CASA  5, PARQUE EDU CHAVES, São Paulo, SP, 02236000;S�o Paulo;SP;-46,5654842889996;-23,4736714769996;88006.0;1.0;11.904.961
177289000976;UNIAO SOCIAL BRASIL GIGANTE;ABRIGO LAR HOLDING II - PARQUE DO CARMO;2011-11-26;não;;;RUA MANOEL SARMENTO340, CIDADE LIDER, São Paulo, SP, 08275075;S�o Paulo;SP;-46,4724253079996;-23,5694073949996;88006.0;1.0;11.904.961
9095549000181;ASSOCIACAO AMIGOS DA INOCENCIA;INSTITUTO FAZENDO ACONTECER (IFA);2007-09-10;não;;;RUA SAO PAULINO258, VILA MARIANA, São Paulo, SP, 04019040;S�o Paulo;SP;-46,6455932299996;-23,5894889039996;94308.0;1.0;11.904.961
61324831000103;ISI INSTITUTO SER INCLUSAO;;2025-06-16;não;;;RUA DA QUITANDA, 126, , CENTRO, São Paulo, SP, 01012010;S�o Paulo;SP;-46,63629;-23,547228;88006.0;1.0;11.904.961
3205769001106;INSTITUTO CRIANCA CIDADA;CIRCO-ESCOLA AGUIA DE HAIA;2000-04-03;não;;;RUA ARBELA,7-A, - - - -, CIDADE A.E.CARVALHO, São Paulo, SP, 08223350;S�o Paulo;SP;-46,4697492689996;-23,5249952769996;85112.0;1.0;11.904.961
33654419000973;CARITAS BRASILEIRA;CARITAS BRASILEIRA REGIONAL DESAO PAULO;1967-04-04;não;;;AVENIDA THOMAS EDISON355, BARRA FUNDA, São Paulo, SP, 01140000;S�o Paulo;SP;-46,6652822599996;-23,5239564389996;88006.0;1.0;11.904.961
8663096000180;ASSOCIACAO BENEFICENTE VILA DO SOL;ASSOCIACAO VILA DO SOL;2007-01-29;não;;;RUA MONTE OLIMPO75, JARDIM VILA DO SOL, São Paulo, SP, 04962140;S�o Paulo;SP;-46,7833578369996;-23,7411391019996;88006.0;1.0;11.904.961
8817519000179;INSTITUTO MUDA BRASIL;GERACAO VIDA NOVA;2007-03-15;não;;;RUA PROFESSOR ONOFRE PENTEADO JUNIOR79, PLANALTO PAULISTA, São Paulo, SP, 04064020;S�o Paulo;SP;-46,6465809339997;-23,6241531699996;94308.0;1.0;11.904.961
43841493000103;LAR APOSTOLO SIMAO PEDRO;;1973-10-01;não;;;RUA COMPRIDA113, VILA MAZZEI, São Paulo, SP, 02311010;S�o Paulo;SP;-46,6013600829996;-23,4696928529996;87115.0;1.0;11.904.961
60617677000103;CENTRO DE EDUCACAO RELIGIOSA JUDAICA;COLEGIO IAVNE;1966-08-08;não;;;RUA PE JOAO MANUEL727, CERQUEIRA CESAR, São Paulo, SP, 01411001;S�o Paulo;SP;-46,6631081459996;-23,5626989059996;85121.0;1.0;11.904.961
18553493000152;ASSOCIACAO BENEFICENTE COMUNITARIA GABRIELA MISTRAL;;2013-07-16;não;;;AVENIDA GABRIELA MISTRAL848, SALA  5, PENHA DE FRANCA, São Paulo, SP, 03701001;S�o Paulo;SP;-46,5506633539996;-23,5120515169996;88006.0;1.0;11.904.961
8002631000313;INSTITUTO VIVA MELHOR;CENTRO PARA CRIANCA E ADOLESCENTE GRAJAU IVM UNIDADE 03;2012-08-08;não;;;RUA STO ANTONIO DE OSSELA244, PARQUE COCAIA, São Paulo, SP, 04850160;S�o Paulo;SP;-46,6774267069996;-23,7507371029996;88006.0;1.0;11.904.961
59570499000115;ASSOCIACAO AMIGOS DO JARDIM SATELITE RIO BONITO;;1988-09-19;não;;;RUA RUI RODRIGUES170, CIDADE DUTRA, São Paulo, SP, 04807050;S�o Paulo;SP;-46,6958292999996;-23,7160701459996;87115.0;1.0;11.904.961
60597044000849;LIGA DAS SENHORAS CATOLICAS DE SAO PAULO;EDUCANDARIO DOM DUARTE;1966-08-30;não;;;AVENIDA ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA5985, JARDIM ESMERALDA, São Paulo, SP, 05564200;S�o Paulo;SP;-46,7932459279996;-23,6036989159996;88006.0;1.0;11.904.961
67984864000247;ASSOCIACAO MENINO DEUS;CRECHE MENINO DEUS;2008-03-27;não;;;RUA CORONEL EUCLIDES MACHADO158, JARDIM DAS GRACAS, São Paulo, SP, 02713000;S�o Paulo;SP;-46,6860002599996;-23,5069528679996;87301.0;1.0;11.904.961
60944998001186;CIRCULO SOCIAL SAO CAMILO;CENTRO PARA JUVENTUDE NOSSA SENHORA DO O;2019-09-24;não;;;RUA ANTONIETA LEITAO375, NOSSA SENHORA DO O, São Paulo, SP, 02925160;S�o Paulo;SP;-46,6968672409996;-23,5024032419996;88006.0;1.0;11.904.961
64184732000161;ASSOCIACAO DE CONSTRUCAO POR MUTIRAO JOAO DE BARRO;;1990-08-30;não;;;RUA DR ZUQUIM398, SANTANA, São Paulo, SP, 08210040;S�o Paulo;SP;-46,4568404959996;-23,5433449409996;87115.0;1.0;11.904.961
8929298000120;ASSOCIACAO DIAS DE CARINHO;;2007-06-20;não;;;RUA CORONEL LISBOA434, SALA 3, VILA MARIANA, São Paulo, SP, 04020040;S�o Paulo;SP;-46,6394288299996;-23,5926650749996;88006.0;1.0;11.904.961
54400776000128;CENTRO CULTURAL PERDIZES;CCP;2024-03-20;não;;;RUA CARDOSO DE ALMEIDA, 1447, CASA  1, PERDIZES, São Paulo, SP, 05013001;S�o Paulo;SP;-46,6719835935;-23,542568662;88006.0;1.0;11.904.961
62264494003941;CENTRO SOCIAL NOSSA SENHORA DO BOM PARTO;CEC JOAO PAULO II;1987-01-21;não;;;RUA RIO HIPIAUGUI635, PRQ SANTA MADALENA, São Paulo, SP, 03982000;S�o Paulo;SP;-46,5143547109996;-23,6083395969996;88006.0;1.0;11.904.961
67636282000199;ASSOC ASSIST E EDUC EV O BRASIL P CRISTO EM ART ALVIM;;1992-07-02;não;;;RUA DESEM CARNEIRO RIBEIRO89, ARTUR ALVIM, São Paulo, SP, 03569000;S�o Paulo;SP;-46,4897733639996;-23,5432942549996;87115.0;1.0;11.904.961
17553212000107;ASSOCIACAO BENEFICENTE CORACAO AMIGO;;2013-01-22;não;;;RUA CRISTOVAO SANTIAGO160, JARDIM ONDINA, São Paulo, SP, 02871040;S�o Paulo;SP;-46,6742429109996;-23,4607703299996;94308.0;1.0;11.904.961
