id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
28042002395,280420,SE,Monte Alegre de Sergipe,CRAS CENTRO DE VIVENCIA E CIDADANIA,,,FRANCISCO ROLLEMBERG LEITE - 287,287,PREDIO A,Ao lado do auditório municipal.,CENTRO,49690000,"-10.029662442133981\,-37.56696581840516",2026-03-12T04:09:15.596Z
28043006319,280430,SE,Muribeca,CRAS MARIA LUIZA DE JESUS ( D. LILI),,,LUIZ MOTA - 0,0,,,CENTRO,49780000,"-10.427\,-36.959",2026-03-12T04:09:12.679Z
28044004068,280440,SE,Neópolis,CRAS - IRMÃ DULCE,,,Sebastião Campos - 001,001,,Ao lado do Centro Estadual de Educação Profissional Agonalto Pacheco da Silva.,CENTRO,49980000,"-10.316354822570094\,-36.57522439956666",2026-03-12T04:09:12.729Z
28044502372,280445,SE,Nossa Senhora Aparecida,"CRAS ""Maria Tereza Barreto Muniz""",,,WILSON MENESES - 00,00,CASA,PRÓXIMO A FÁBRICA DE CALÇADOS WEST COAST.,CENTRO,49540000,"-10.396143455541718\,-37.450418472290046",2026-03-12T04:09:15.596Z
28045001718,280450,SE,Nossa Senhora da Glória,CRAS - CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL - NOVO HORIZONTE,,,CASTELO BRANCO - 740,740,,RUA DO FUNDO DA ESCOLA PADRE LEON GREGORIO,SEBASTIAO LOPES DA SILVA,49680000,"-10.21612179216118\,-37.42780208587647",2026-03-12T04:09:15.596Z
28045020295,280450,SE,Nossa Senhora da Glória,CRAS - CENTRO DE REFERÊNCIA DA ASSISTÊNCIA SOCIAL - ELZA NOGUEIRA,,,Siriri - S/N,S/N,CASA,Conjunto Albano Franco,JARDIM DO SERTÃO,49680000,"-10.213275143825928\,-37.4036192893982",2026-03-12T04:09:12.945Z
28046002367,280460,SE,Nossa Senhora Das Dores,CRAS Centro de Referência de Assistencia Social,,,MARIA LÚCIA  - 00,00,FUNDO DA CAIXA,,centro,49600000,"-10.48837311988204\,-37.192239761352546",2026-03-12T04:09:12.336Z
28047004897,280470,SE,Nossa Senhora de Lourdes,Ana Maria de Campos Santos,,,Martinho Bravo - 00,00,,No Fundo do Clube Municipal,Centro,49890000,"-10.077501940432375\,-37.0595669746399",2026-03-12T04:09:12.572Z
28048003648,280480,SE,Nossa Senhora do Socorro,CRAS PROFESSORA MARIA LUIZA DANTAS SANTOS,,,17 - 0,0,PRAÇA DA CULTURA,PRAÇA DA CULTURA CANTOR PEDRO ROGERIO,CONJUNTO MARCOS FREIRE I,49160000,"-10.848719502733534\,-37.06959575414658",2026-03-12T04:09:12.277Z
28048003791,280480,SE,Nossa Senhora do Socorro,CRAS DOUTOR FRANKLIN DE OLIVEIRA RIBEIRO,,,23 - 1890,1890,,,PARQUE DOS FARÓIS,49160280,"-10.916099190098778\,-37.13345646858216",2026-03-12T04:09:12.214Z
28048004055,280480,SE,Nossa Senhora do Socorro,CRAS MARIA JOSÉ REIS DE OLIVEIRA RIBEIRO,,,N1 - 0,0,,VIZINHO A DELEGACIA,JARDIM 1,49162550,"-10.891931597851\,-37.14540839195252",2026-03-12T04:09:12.277Z
28048020044,280480,SE,Nossa Senhora do Socorro,CRAS ZILDA ARNS,,,SIMÃO DIAS - 125,125,,,JOÃO ALVES,49155480,"-10.855455258813608\,-37.08176493644715",2026-03-12T04:09:12.277Z
28048040409,280480,SE,Nossa Senhora do Socorro,CRAS ÂNGELA MARIA MELO BATISTA,,,DAVID JONATHAN BARBOSA - 0,0,,,NOVO HORIZONTE,49152460,,2026-03-12T04:09:19.405Z
28049004124,280490,SE,Pacatuba,CRAS - DONITA MARTINS,,,PRAÇA 31 DE MARÇO - 185,185,,PROX A IGREJA CATÓLICA SÃO FELIX,CENTRO,49970000,"-10.452711386918185\,-36.64338201284409",2026-03-12T04:09:12.679Z
28050005118,280500,SE,Pedra Mole,CRAS JOSEFA BATISTA CARVALHO,,,dos Estudantes - 0,0,SN,,centro,49512000,"-10.618303859414215\,-37.68722534179688",2026-03-12T04:09:13.180Z
28051002368,280510,SE,Pedrinhas,CRAS DE PEDRINHAS,,,JOSÉ ALVES DE ANDRADE - 415,415,,,CENTRO,49350000,"-11.191152984277064\,-37.67281115055085",2026-03-12T04:09:14.448Z
28052000918,280520,SE,Pinhão,CRAS CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,,,JOSE EMIGDIO DA COSTA FILHO  - 48,48,CASA,PROXIMO A PRAÇA DA IGREJA,CENTRO,49517000,"-10.568205161768347\,-37.723354697227485",2026-03-12T04:09:13.180Z
28053000921,280530,SE,Pirambu,CRAS PIRAMBU,,,B - 347,347,CASA,,CENTRO,49190000,"-10.73934832865352\,-36.85653448104859",2026-03-12T04:09:12.448Z
28054003862,280540,SE,Poço Redondo,Centro de Referencia da Assistencia Social,,,Montes Claros - 688,688,Casa,Proximo a Igreja Assembleia de Deus,São José,49810000,"-9.806038390213255\,-37.68604516983033",2026-03-12T04:09:12.679Z
28054004028,280540,SE,Poço Redondo,CRAS QUILOMBOLA,,,11 DE SETEMBRO - 0,0,,ENTRE A ESCOLA MUNICIPAL ERMIRIO TORRES MACHADO E A UBS,CENTRO,49810000,"-9.8513439238994\,-37.7112519396392",2026-03-12T04:09:12.679Z
