cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;dt_fundacao_osc;removida_do_mosc;data_fechamento;ano_fechamento;tx_endereco_completo;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social
38000359000131;PROJETO FONTE DE ESPERANCA PROFESP;PROJETO FONTE DE ESPERANCA PROFESP;2020-07-03;não;;;ESTRADA MUNICIPAL JOSE FELIX MONTEIRO VISCONDE DO MOSSORO, 3620, , PINHEIRINHO, Taubaté, SP, 12119899;TAUBAT�;SP;-45,685887;-23,007779;87204.0;1.0
38027317000194;ASSOCIACAO SALVANDO ALMAS;;2020-07-06;não;;;RUA JOAO DIAS272, PARQUE SANTOS DUMONT, Guarulhos, SP, 07152230;GUARULHOS;SP;-46,4671934399996;-23,4036580139996;88006.0;1.0
38036960000184;ASSOCIACAO COMUNITARIA UNIDOS PELO BEM;UNIDOS PELO BEM;2020-05-06;não;;;RUA CRUZEIRO DO SUL490, JARDIM BRANCA FLOR, Itapecerica da Serra, SP, 06855730;ITAPECERICA DA SERRA;SP;-46,8232582979997;-23,6854154549996;88006.0;1.0
38089011000162;PROJETO SERAFIM;;2020-07-31;não;;;RUA VIRGILIO M. DE OLIVEIRA519 A, CENTRO, Francisco Morato, SP, 07901020;FRANCISCO MORATO;SP;-46,7469561869996;-23,2807140499996;88006.0;1.0
38145671000113;INSTITUTO GUETO;INTITUTO GUETO;2020-07-24;não;;;AVENIDA DR. EDISON BERNARDO DO NASCIMENTO1407, JARDIM ELIZA, Guaíra, SP, 14790000;GUA�RA;SP;-48,3124207739996;-20,3200635299996;88006.0;1.0
38367663000111;ASSOCIACAO FADA MADRINHA;AFM;2020-07-23;não;;;RUA CONCEICAO LIMA DA SILVA333, CENTRAL PARK RESIDENCE, Presidente Prudente, SP, 19060702;PRESIDENTE PRUDENTE;SP;-51,4177429129996;-22,1268442569996;88006.0;1.0
38374398000107;INSTITUTO PABLO HENRIQUE;INSTITUTO PABLO HENRIQUE;2020-07-30;não;;;RUA ANTONIO TOTOLI, 1550, , SAO JOAQUIM, Franca, SP, 14406303;FRANCA;SP;-47,427421;-20,540973;88006.0;1.0
38378975000120;ASSOCIACAO ANJOS DA RUA RIBEIRAO PRETO;;2020-08-10;não;;;RUA SALVADOR COSSO491, JARDIM IRAJA, Ribeirão Preto, SP, 14020580;RIBEIR�O PRETO;SP;-47,8030103519996;-21,2062052859996;88006.0;1.0
38485685000186;ASSOCIACAO VEMSER VOLUNTARIOS CONSTRUINDO A COMUNIDADE;ASSOCIACAO VEMSER VOLUNTARIOS CONSTRUINDO A COMUNIDADE;2020-09-01;não;;;RUA SAO JOAO880, SALA  03, PATRIMONIO DE SAO JOAO BATISTA, Olímpia, SP, 15400065;OL�MPIA;SP;-48,9139040649996;-20,7385204349996;88006.0;1.0
38613209000101;ONG GRUPO DE APOIO A PESSOAS ENFERMAS E CRIANCAS DA COMUNIDADE;ONG GRAPECC;2020-09-02;não;;;RUA TAU236, JARDIM CENTENARIO, Guarulhos, SP, 07270390;GUARULHOS;SP;-46,4302666969996;-23,4602033649996;94308.0;1.0
38653419000115;UNAMA - UNIAO NACIONAL DOS MOTORISTAS E ENTREGADORES POR APLICATIVOS;UNAMA;2020-01-29;não;;;RUA INDEPENDENCIA3497, SALA  1, VILA AURORA, São José do Rio Preto, SP, 15014400;S�O JOS� DO RIO PRETO;SP;-49,3867029219996;-20,8136928319996;88006.0;1.0
38655720000168;INSTITUTO BETHESDA MANANCIAL;C.A.M. - CASA DE AMOR E MISERICORDIA;2020-06-02;não;;;RUA OSWALDO REZENDE356, ANDAR 2                   SALA  3 E 4, JARDIM SAO MARCOS, Campinas, SP, 13082275;CAMPINAS;SP;-47,1147393709997;-22,8480954449996;88006.0;1.0
38972138000125;ASSOCIACAO ASSISTENCIAL PROJETO CORRENTE DO BEM DE PRESIDENTE PRUDENTE-SP;AAPCBPP;2020-09-09;não;;;RUA GALDINO DE SOUZA261, VILA MARIA, Presidente Prudente, SP, 19053010;PRESIDENTE PRUDENTE;SP;-51,3856539499996;-22,1561607209996;94308.0;1.0
39229045000178;ASSOCIACAO BENEFICENTE PRESENTE PARA O FUTURO;;2019-06-14;não;;;RUA DIAS DA SILVA625, VILA MARIA, São Paulo, SP, 02114001;S�O PAULO;SP;-46,5900665329996;-23,5206326959996;88006.0;1.0
39287589000196;ASSOCIACAO BENEFICENTE CASA ELOS;;2020-08-12;não;;;RUA 07 DE SETEMBRO60, CENTRO, Santa Rosa de Viterbo, SP, 14270000;SANTA ROSA DE VITERBO;SP;-47,3626591489996;-21,4780481809996;87115.0;1.0
39310554000120;COMUNIDADE DE REINTEGRACAO SOCIAL TO BLINDADO;TO BLINDADO;2020-09-01;não;;;RUA FREGUESIA DAS VARGES3, VILA ITAIM, São Paulo, SP, 08190530;S�O PAULO;SP;-46,3898000099996;-23,4825608089996;88006.0;1.0
